scenarioId,liquidityBps,range,initialTick,balanceBps,maxSafeNotional,firstFailureNotional,selector,limitingFactor,preflightExpected
capacity-2500-100-0-5000,2500,100,0,5000,1011,1012,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-100-0-10000,2500,100,0,10000,4178,4179,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-100-0-20000,2500,100,0,20000,4178,4179,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-100-90-5000,2500,100,90,5000,4125,4126,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-100-90-10000,2500,100,90,10000,7922,7923,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-100-90-20000,2500,100,90,20000,7922,7923,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-100--90-5000,2500,100,-90,5000,137,138,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-100--90-10000,2500,100,-90,10000,418,419,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-100--90-20000,2500,100,-90,20000,418,419,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-1000-0-5000,2500,1000,0,5000,21002,21003,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-1000-0-10000,2500,1000,0,10000,42745,42746,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-1000-0-20000,2500,1000,0,20000,42745,42746,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-1000-90-5000,2500,1000,90,5000,41776,41777,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-1000-90-10000,2500,1000,90,10000,46488,46489,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-1000-90-20000,2500,1000,90,20000,46488,46489,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-1000--90-5000,2500,1000,-90,5000,2987,2988,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-1000--90-10000,2500,1000,-90,10000,38984,38985,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-1000--90-20000,2500,1000,-90,20000,38984,38985,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-10000-0-5000,2500,10000,0,5000,521579,521580,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-10000-0-10000,2500,10000,0,10000,540837,540838,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-10000-0-20000,2500,10000,0,20000,540837,540838,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-10000-90-5000,2500,10000,90,5000,402770,402771,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-10000-90-10000,2500,10000,90,10000,544580,544581,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-10000-90-20000,2500,10000,90,20000,544580,544581,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-10000--90-5000,2500,10000,-90,5000,346222,346223,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-2500-10000--90-10000,2500,10000,-90,10000,537076,537077,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-2500-10000--90-20000,2500,10000,-90,20000,537076,537077,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-100-0-5000,5000,100,0,5000,8132,8133,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-100-0-10000,5000,100,0,10000,8357,8358,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-100-0-20000,5000,100,0,20000,8357,8358,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-100-90-5000,5000,100,90,5000,15838,15839,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-100-90-10000,5000,100,90,10000,15844,15845,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-100-90-20000,5000,100,90,20000,15844,15845,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-100--90-5000,5000,100,-90,5000,137,138,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-100--90-10000,5000,100,-90,10000,837,838,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-100--90-20000,5000,100,-90,20000,837,838,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-1000-0-5000,5000,1000,0,5000,21002,21003,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-1000-0-10000,5000,1000,0,10000,85490,85491,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-1000-0-20000,5000,1000,0,20000,85490,85491,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-1000-90-5000,5000,1000,90,5000,41776,41777,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-1000-90-10000,5000,1000,90,10000,92976,92977,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-1000-90-20000,5000,1000,90,20000,92976,92977,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-1000--90-5000,5000,1000,-90,5000,71557,71558,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-1000--90-10000,5000,1000,-90,10000,77969,77970,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-1000--90-20000,5000,1000,-90,20000,77969,77970,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-5000-10000-0-5000,5000,10000,0,5000,635414,635415,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-10000-0-10000,5000,10000,0,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-5000-10000-0-20000,5000,10000,0,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-5000-10000-90-5000,5000,10000,90,5000,402770,402771,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-10000-90-10000,5000,10000,90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-5000-10000-90-20000,5000,10000,90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-5000-10000--90-5000,5000,10000,-90,5000,346222,346223,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-5000-10000--90-10000,5000,10000,-90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-5000-10000--90-20000,5000,10000,-90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-100-0-5000,100000,100,0,5000,144230,144231,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-100000-100-0-10000,100000,100,0,10000,167159,167160,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-100000-100-0-20000,100000,100,0,20000,167159,167160,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-100000-100-90-5000,100000,100,90,5000,316581,316582,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-100000-100-90-10000,100000,100,90,10000,316889,316890,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-100000-100-90-20000,100000,100,90,20000,316889,316890,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-100000-100--90-5000,100000,100,-90,5000,2987,2988,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-100000-100--90-10000,100000,100,-90,10000,16753,16754,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-100000-100--90-20000,100000,100,-90,20000,16753,16754,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-100000-1000-0-5000,100000,1000,0,5000,635414,635415,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-100000-1000-0-10000,100000,1000,0,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-1000-0-20000,100000,1000,0,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-1000-90-5000,100000,1000,90,5000,402770,402771,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
