scenarioId,category,walletCount,churnPercent,changedWallets,durationMs,timingsMs,cpuMs,peakRssBytes,filesBytes,status
rwa-base-100,issuer-base,100,,,,"{""init"":224.943667,""importAndRoot"":217.966583,""root"":429.512875,""witness"":433.4865,""total"":1305.909625}","{""user"":1300,""system"":150}",139083776,"{""csv"":8250,""encryptedStore"":39328,""policy"":651,""witness"":4875}",COMPLETE
rwa-churn-100-1,issuer-churn,100,1,1,614.801875,"{""import"":215.440125,""root"":399.36175}","{""user"":610,""system"":70}",138690560,,COMPLETE
rwa-churn-100-5,issuer-churn,100,5,5,603.972292,"{""import"":215.070167,""root"":388.902125}","{""user"":600,""system"":70}",138166272,,COMPLETE
rwa-churn-100-10,issuer-churn,100,10,10,609.7284999999999,"{""import"":221.74925,""root"":387.97925}","{""user"":600,""system"":70}",138608640,,COMPLETE
rwa-base-1000,issuer-base,1000,,,,"{""init"":201.000375,""importAndRoot"":241.243,""root"":2109.702458,""witness"":2128.996791,""total"":4680.942624}","{""user"":4670,""system"":160}",142131200,"{""csv"":82950,""encryptedStore"":386128,""policy"":652,""witness"":4875}",COMPLETE
rwa-churn-1000-1,issuer-churn,1000,1,10,2375.3940829999997,"{""import"":220.495,""root"":2154.899083}","{""user"":2340,""system"":80}",141295616,,COMPLETE
rwa-churn-1000-5,issuer-churn,1000,5,50,2243.207,"{""import"":223.754333,""root"":2019.452667}","{""user"":2230,""system"":90}",141213696,,COMPLETE
rwa-churn-1000-10,issuer-churn,1000,10,100,2150.463999,"{""import"":221.401583,""root"":1929.062416}","{""user"":2140,""system"":70}",141721600,,COMPLETE
rwa-base-10000,issuer-base,10000,,,,"{""init"":211.115584,""importAndRoot"":1060.451208,""root"":19735.274584,""witness"":19543.992,""total"":40550.833375999995}","{""user"":40230,""system"":530}",227573760,"{""csv"":838950,""encryptedStore"":3854128,""policy"":653,""witness"":4875}",COMPLETE
rwa-churn-10000-1,issuer-churn,10000,1,100,19868.952916,"{""import"":246.542625,""root"":19622.410291}","{""user"":19660,""system"":250}",182173696,,COMPLETE
rwa-churn-10000-5,issuer-churn,10000,5,500,19149.651667000002,"{""import"":256.283834,""root"":18893.367833}","{""user"":18990,""system"":240}",183140352,,COMPLETE
rwa-churn-10000-10,issuer-churn,10000,10,1000,18211.724875,"{""import"":251.13,""root"":17960.594875}","{""user"":18060,""system"":240}",183828480,,COMPLETE
rwa-base-100000,issuer-base,100000,,,,"{""init"":213.909709,""importAndRoot"":69381.317708,""root"":219013.984917,""witness"":252718.342792,""total"":541327.555126}","{""user"":532750,""system"":3790}",697384960,"{""csv"":8488950,""encryptedStore"":38534128,""policy"":654,""witness"":4872}",COMPLETE
rwa-churn-100000-1,issuer-churn,100000,1,1000,194945.471041,"{""import"":538.88975,""root"":194406.581291}","{""user"":191960,""system"":1730}",610222080,,COMPLETE
rwa-churn-100000-5,issuer-churn,100000,5,5000,188917.092166,"{""import"":624.380958,""root"":188292.711208}","{""user"":186070,""system"":1760}",637681664,,COMPLETE
rwa-churn-100000-10,issuer-churn,100000,10,10000,181497.03529200002,"{""import"":708.613,""root"":180788.422292}","{""user"":178050,""system"":1410}",693354496,,COMPLETE
