path,walletCount,churnPercent,changedWallets,staffRateUsdPerHour,ethPriceUsd,l2GasPriceGwei,measuredIssuerGas,measuredUserGas,transactionCount,observedAutomationHoursProxy,staffCostUsd,l1SecurityFeeProxyUsd,issuerPaidUsd,userPaidUsd,totalSystemCostUsd
ilal-v1-cnf-eas,100000,1,1000,50,2000,0.01,118123000,242101000,2000,0.25,12.5,0,14.86246,4.842020000000001,19.70448
ilal-v2-zk-policy-grant,100000,1,1000,50,2000,0.01,138493,61520000,1001,0.25,12.5,0,12.50276986,1.2304,13.73316986
benchmark-only-onchain-allowlist,100000,1,1000,50,2000,0.01,23054000,0,1000,0.25,12.5,0,12.96108,0,12.96108
ilal-v1-cnf-eas,100000,1,1000,50,2000,0.1,118123000,242101000,2000,0.25,12.5,0,36.1246,48.4202,84.54480000000001
ilal-v2-zk-policy-grant,100000,1,1000,50,2000,0.1,138493,61520000,1001,0.25,12.5,0,12.5276986,12.304,24.831698600000003
benchmark-only-onchain-allowlist,100000,1,1000,50,2000,0.1,23054000,0,1000,0.25,12.5,0,17.1108,0,17.1108
ilal-v1-cnf-eas,100000,1,1000,50,2000,1,118123000,242101000,2000,0.25,12.5,0,248.746,484.202,732.948
ilal-v2-zk-policy-grant,100000,1,1000,50,2000,1,138493,61520000,1001,0.25,12.5,0,12.776986,123.04,135.816986
benchmark-only-onchain-allowlist,100000,1,1000,50,2000,1,23054000,0,1000,0.25,12.5,0,58.608000000000004,0,58.608000000000004
ilal-v1-cnf-eas,100000,1,1000,50,3000,0.01,118123000,242101000,2000,0.25,12.5,0,16.04369,7.263030000000001,23.306720000000002
ilal-v2-zk-policy-grant,100000,1,1000,50,3000,0.01,138493,61520000,1001,0.25,12.5,0,12.50415479,1.8456,14.349754789999999
benchmark-only-onchain-allowlist,100000,1,1000,50,3000,0.01,23054000,0,1000,0.25,12.5,0,13.19162,0,13.19162
ilal-v1-cnf-eas,100000,1,1000,50,3000,0.1,118123000,242101000,2000,0.25,12.5,0,47.9369,72.6303,120.56720000000001
ilal-v2-zk-policy-grant,100000,1,1000,50,3000,0.1,138493,61520000,1001,0.25,12.5,0,12.5415479,18.456,30.9975479
benchmark-only-onchain-allowlist,100000,1,1000,50,3000,0.1,23054000,0,1000,0.25,12.5,0,19.4162,0,19.4162
ilal-v1-cnf-eas,100000,1,1000,50,3000,1,118123000,242101000,2000,0.25,12.5,0,366.869,726.303,1093.172
ilal-v2-zk-policy-grant,100000,1,1000,50,3000,1,138493,61520000,1001,0.25,12.5,0,12.915479,184.56,197.475479
benchmark-only-onchain-allowlist,100000,1,1000,50,3000,1,23054000,0,1000,0.25,12.5,0,81.662,0,81.662
ilal-v1-cnf-eas,100000,1,1000,50,4000,0.01,118123000,242101000,2000,0.25,12.5,0,17.22492,9.684040000000001,26.90896
ilal-v2-zk-policy-grant,100000,1,1000,50,4000,0.01,138493,61520000,1001,0.25,12.5,0,12.50553972,2.4608,14.96633972
benchmark-only-onchain-allowlist,100000,1,1000,50,4000,0.01,23054000,0,1000,0.25,12.5,0,13.42216,0,13.42216
ilal-v1-cnf-eas,100000,1,1000,50,4000,0.1,118123000,242101000,2000,0.25,12.5,0,59.7492,96.8404,156.58960000000002
ilal-v2-zk-policy-grant,100000,1,1000,50,4000,0.1,138493,61520000,1001,0.25,12.5,0,12.5553972,24.608,37.1633972
benchmark-only-onchain-allowlist,100000,1,1000,50,4000,0.1,23054000,0,1000,0.25,12.5,0,21.721600000000002,0,21.721600000000002
ilal-v1-cnf-eas,100000,1,1000,50,4000,1,118123000,242101000,2000,0.25,12.5,0,484.992,968.404,1453.396
ilal-v2-zk-policy-grant,100000,1,1000,50,4000,1,138493,61520000,1001,0.25,12.5,0,13.053972,246.08,259.133972
benchmark-only-onchain-allowlist,100000,1,1000,50,4000,1,23054000,0,1000,0.25,12.5,0,104.71600000000001,0,104.71600000000001
ilal-v1-cnf-eas,100000,1,1000,100,2000,0.01,118123000,242101000,2000,0.25,25,0,27.36246,4.842020000000001,32.20448
ilal-v2-zk-policy-grant,100000,1,1000,100,2000,0.01,138493,61520000,1001,0.25,25,0,25.00276986,1.2304,26.23316986
benchmark-only-onchain-allowlist,100000,1,1000,100,2000,0.01,23054000,0,1000,0.25,25,0,25.46108,0,25.46108
ilal-v1-cnf-eas,100000,1,1000,100,2000,0.1,118123000,242101000,2000,0.25,25,0,48.6246,48.4202,97.04480000000001
